[34;1m:: Loading distribucio_de_polissas.sql...[0m
[32;1m>> configuration to connect to erp at http://localhost[0m
[34;1m:: Connecting to the database...[0m
codi_pais	pais	codi_ccaa	comunitat_autonoma	codi_provincia	provincia	codi_ine	municipi	quants
ES	España	01	Andalucia	04	Almería	04003	Adra	4
ES	España	01	Andalucia	04	Almería	04006	Albox	1
ES	España	01	Andalucia	04	Almería	04013	Almería	31
ES	España	01	Andalucia	04	Almería	04037	Chirivel	1
ES	España	01	Andalucia	04	Almería	04902	Ejido, El	6
ES	España	01	Andalucia	04	Almería	04047	Gádor	1
ES	España	01	Andalucia	04	Almería	04048	Gallardos, Los	1
ES	España	01	Andalucia	04	Almería	04049	Garrucha	2
ES	España	01	Andalucia	04	Almería	04053	Huércal-Overa	1
ES	España	01	Andalucia	04	Almería	04066	Níjar	4
ES	España	01	Andalucia	04	Almería	04079	Roquetas de Mar	5
ES	España	01	Andalucia	04	Almería	04092	Tíjola	1
ES	España	01	Andalucia	04	Almería	04100	Vera	7
ES	España	01	Andalucia	04	Almería	04101	Viator	1
ES	España	01	Andalucia	04	Almería	04102	Vícar	1
ES	España	01	Andalucia	11	Cádiz	11004	Algeciras	3
ES	España	01	Andalucia	11	Cádiz	11009	Benaocaz	2
ES	España	01	Andalucia	11	Cádiz	11012	Cádiz	11
ES	España	01	Andalucia	11	Cádiz	11015	Chiclana de la Frontera	1
ES	España	01	Andalucia	11	Cádiz	11016	Chipiona	2
ES	España	01	Andalucia	11	Cádiz	11014	Conil de la Frontera	4
ES	España	01	Andalucia	11	Cádiz	11019	Grazalema	2
ES	España	01	Andalucia	11	Cádiz	11020	Jerez de la Frontera	13
ES	España	01	Andalucia	11	Cádiz	11024	Olvera	1
ES	España	01	Andalucia	11	Cádiz	11027	Puerto de Santa María, El	14
ES	España	01	Andalucia	11	Cádiz	11028	Puerto Real	9
ES	España	01	Andalucia	11	Cádiz	11030	Rota	1
ES	España	01	Andalucia	11	Cádiz	11031	San Fernando	2
ES	España	01	Andalucia	11	Cádiz	11032	Sanlúcar de Barrameda	8
ES	España	01	Andalucia	11	Cádiz	11033	San Roque	1
ES	España	01	Andalucia	11	Cádiz	11035	Tarifa	4
ES	España	01	Andalucia	11	Cádiz	11037	Trebujena	4
ES	España	01	Andalucia	11	Cádiz	11039	Vejer de la Frontera	1
ES	España	01	Andalucia	14	Córdoba	14001	Adamuz	1
