[32;1m>> configuration to connect to erp at http://localhost[0m
codi_pais	pais	codi_ccaa	comunitat_autonoma	codi_provincia	provincia	codi_ine	municipi	quants
CL	Chile	None	None	None	None	None	None	1
ES	España	01	Andalucia	04	Almería	04003	Adra	2
ES	España	01	Andalucia	04	Almería	04006	Albox	1
ES	España	01	Andalucia	04	Almería	04013	Almería	26
ES	España	01	Andalucia	04	Almería	04032	Carboneras	1
ES	España	01	Andalucia	04	Almería	04037	Chirivel	1
ES	España	01	Andalucia	04	Almería	04902	Ejido, El	1
ES	España	01	Andalucia	04	Almería	04047	Gádor	1
ES	España	01	Andalucia	04	Almería	04055	Instinción	1
ES	España	01	Andalucia	04	Almería	04066	Níjar	3
ES	España	01	Andalucia	04	Almería	04079	Roquetas de Mar	3
ES	España	01	Andalucia	04	Almería	04098	Vélez-Blanco	1
ES	España	01	Andalucia	04	Almería	04100	Vera	3
ES	España	01	Andalucia	11	Cádiz	11004	Algeciras	2
ES	España	01	Andalucia	11	Cádiz	11012	Cádiz	8
ES	España	01	Andalucia	11	Cádiz	11015	Chiclana de la Frontera	2
ES	España	01	Andalucia	11	Cádiz	11016	Chipiona	1
ES	España	01	Andalucia	11	Cádiz	11014	Conil de la Frontera	1
ES	España	01	Andalucia	11	Cádiz	11020	Jerez de la Frontera	8
ES	España	01	Andalucia	11	Cádiz	11027	Puerto de Santa María, El	7
ES	España	01	Andalucia	11	Cádiz	11028	Puerto Real	6
ES	España	01	Andalucia	11	Cádiz	11031	San Fernando	1
ES	España	01	Andalucia	11	Cádiz	11032	Sanlúcar de Barrameda	1
ES	España	01	Andalucia	11	Cádiz	11033	San Roque	1
ES	España	01	Andalucia	11	Cádiz	11035	Tarifa	1
ES	España	01	Andalucia	11	Cádiz	11037	Trebujena	1
ES	España	01	Andalucia	11	Cádiz	11039	Vejer de la Frontera	2
ES	España	01	Andalucia	14	Córdoba	14013	Cabra	2
ES	España	01	Andalucia	14	Córdoba	14017	Carlota, La	1
ES	España	01	Andalucia	14	Córdoba	14021	Córdoba	74
ES	España	01	Andalucia	14	Córdoba	14038	Lucena	1
ES	España	01	Andalucia	14	Córdoba	14042	Montilla	4
ES	España	01	Andalucia	14	Córdoba	14046	Nueva Carteya	1
ES	España	01	Andalucia	14	Córdoba	14055	Priego de Córdoba	1
ES	España	01	Andalucia	14	Córdoba	14058	Rute	4
ES	España	01	Andalucia	14	Córdoba	14067	Villafranca de Córdoba	1
ES	España	01	Andalucia	18	Granada	18003	Albolote	1
ES	España	01	Andalucia	18	Granada	18014	Alhendín	1
ES	España	01	Andalucia	18	Granada	18017	Almuñécar	3
ES	España	01	Andalucia	18	Granada	18021	Armilla	1
ES	España	01	Andalucia	18	Granada	18022	Atarfe	1
ES	España	01	Andalucia	18	Granada	18036	Cájar	1
ES	España	01	Andalucia	18	Granada	18087	Granada	55
ES	España	01	Andalucia	18	Granada	18093	Gualchos	1
ES	España	01	Andalucia	18	Granada	18095	Güevéjar	1
ES	España	01	Andalucia	18	Granada	18099	Huétor de Santillán	2
ES	España	01	Andalucia	18	Granada	18101	Huétor Vega	5
ES	España	01	Andalucia	18	Granada	18127	Maracena	1
ES	España	01	Andalucia	18	Granada	18132	Moclín	1
ES	España	01	Andalucia	18	Granada	18134	Monachil	2
ES	España	01	Andalucia	18	Granada	18140	Motril	4
ES	España	01	Andalucia	18	Granada	18150	Padul	3
ES	España	01	Andalucia	18	Granada	18153	Peligros	1
ES	España	01	Andalucia	18	Granada	18173	Salobreña	1
ES	España	01	Andalucia	18	Granada	18175	Santa Fe	3
ES	España	01	Andalucia	18	Granada	18193	Zubia, La	1
ES	España	01	Andalucia	21	Huelva	21005	Almonte	1
ES	España	01	Andalucia	21	Huelva	21007	Aracena	4
ES	España	01	Andalucia	21	Huelva	21010	Ayamonte	1
ES	España	01	Andalucia	21	Huelva	21030	Chucena	1
ES	España	01	Andalucia	21	Huelva	21025	Cortegana	1
ES	España	01	Andalucia	21	Huelva	21041	Huelva	4
ES	España	01	Andalucia	21	Huelva	21044	Lepe	1
ES	España	01	Andalucia	21	Huelva	21054	Palma del Condado, La	1
ES	España	01	Andalucia	21	Huelva	21072	Valverde del Camino	1
ES	España	01	Andalucia	23	Jaén	23009	Baeza	1
ES	España	01	Andalucia	23	Jaén	23044	Huelma	1
ES	España	01	Andalucia	23	Jaén	23050	Jaén	4
ES	España	01	Andalucia	23	Jaén	23055	Linares	2
ES	España	01	Andalucia	23	Jaén	23060	Martos	2
ES	España	01	Andalucia	23	Jaén	23904	Santiago-Pontones	1
ES	España	01	Andalucia	29	Málaga	29015	Antequera	1
ES	España	01	Andalucia	29	Málaga	29023	Benahavís	1
ES	España	01	Andalucia	29	Málaga	29025	Benalmádena	5
ES	España	01	Andalucia	29	Málaga	29038	Cártama	1
ES	España	01	Andalucia	29	Málaga	29039	Casabermeja	1
ES	España	01	Andalucia	29	Málaga	29046	Cortes de la Frontera	1
ES	España	01	Andalucia	29	Málaga	29051	Estepona	3
ES	España	01	Andalucia	29	Málaga	29054	Fuengirola	1
ES	España	01	Andalucia	29	Málaga	29067	Málaga	28
ES	España	01	Andalucia	29	Málaga	29075	Nerja	1
ES	España	01	Andalucia	29	Málaga	29082	Rincón de la Victoria	2
ES	España	01	Andalucia	29	Málaga	29084	Ronda	1
ES	España	01	Andalucia	29	Málaga	29901	Torremolinos	3
ES	España	01	Andalucia	29	Málaga	29094	Vélez-Málaga	5
ES	España	01	Andalucia	41	Sevilla	41004	Alcalá de Guadaíra	6
ES	España	01	Andalucia	41	Sevilla	41007	Algaba, La	1
ES	España	01	Andalucia	41	Sevilla	41016	Bollullos de la Mitación	1
ES	España	01	Andalucia	41	Sevilla	41024	Carmona	2
ES	España	01	Andalucia	41	Sevilla	41029	Castilleja de la Cuesta	2
ES	España	01	Andalucia	41	Sevilla	41031	Castillo de las Guardas, El	1
ES	España	01	Andalucia	41	Sevilla	41038	Dos Hermanas	14
ES	España	01	Andalucia	41	Sevilla	41039	Écija	1
ES	España	01	Andalucia	41	Sevilla	41040	Espartinas	3
ES	España	01	Andalucia	41	Sevilla	41045	Gerena	1
ES	España	01	Andalucia	41	Sevilla	41047	Gines	1
ES	España	01	Andalucia	41	Sevilla	41053	Lebrija	1
ES	España	01	Andalucia	41	Sevilla	41058	Mairena del Alcor	2
ES	España	01	Andalucia	41	Sevilla	41059	Mairena del Aljarafe	7
ES	España	01	Andalucia	41	Sevilla	41060	Marchena	6
ES	España	01	Andalucia	41	Sevilla	41067	Olivares	2
ES	España	01	Andalucia	41	Sevilla	41069	Palacios y Villafranca, Los	1
ES	España	01	Andalucia	41	Sevilla	41070	Palomares del Río	5
ES	España	01	Andalucia	41	Sevilla	41081	Rinconada, La	1
ES	España	01	Andalucia	41	Sevilla	41091	Sevilla	64
ES	España	01	Andalucia	41	Sevilla	41093	Tomares	2
ES	España	01	Andalucia	41	Sevilla	41094	Umbrete	1
ES	España	01	Andalucia	41	Sevilla	41095	Utrera	1
ES	España	01	Andalucia	41	Sevilla	41096	Valencina de la Concepción	2
ES	España	01	Andalucia	41	Sevilla	41102	Viso del Alcor, El	1
ES	España	02	Aragón	22	Huesca	22003	Adahuesca	2
ES	España	02	Aragón	22	Huesca	22907	Aínsa-Sobrarbe	2
ES	España	02	Aragón	22	Huesca	22009	Albelda	1
ES	España	02	Aragón	22	Huesca	22021	Almudévar	1
ES	España	02	Aragón	22	Huesca	22022	Almunia de San Juan	1
ES	España	02	Aragón	22	Huesca	22039	Ayerbe	1
ES	España	02	Aragón	22	Huesca	22048	Barbastro	1
ES	España	02	Aragón	22	Huesca	22053	Benabarre	1
ES	España	02	Aragón	22	Huesca	22054	Benasque	1
ES	España	02	Aragón	22	Huesca	22061	Binéfar	2
ES	España	02	Aragón	22	Huesca	22063	Biscarrués	1
ES	España	02	Aragón	22	Huesca	22069	Broto	2
ES	España	02	Aragón	22	Huesca	22084	Castejón de Sos	1
ES	España	02	Aragón	22	Huesca	22096	Chimillas	1
ES	España	02	Aragón	22	Huesca	22112	Fraga	4
ES	España	02	Aragón	22	Huesca	22113	Fueva, La	1
ES	España	02	Aragón	22	Huesca	22117	Graus	2
ES	España	02	Aragón	22	Huesca	22908	Hoz y Costean	2
ES	España	02	Aragón	22	Huesca	22125	Huesca	47
ES	España	02	Aragón	22	Huesca	22130	Jaca	12
ES	España	02	Aragón	22	Huesca	22135	Laluenga	1
ES	España	02	Aragón	22	Huesca	22158	Monzón	4
ES	España	02	Aragón	22	Huesca	22187	Puebla de Castro, La	1
ES	España	02	Aragón	22	Huesca	22199	Sabiñánigo	4
ES	España	02	Aragón	22	Huesca	22200	Sahún	1
ES	España	02	Aragón	22	Huesca	22217	Sena	1
ES	España	02	Aragón	22	Huesca	22222	Siétamo	1
ES	España	02	Aragón	22	Huesca	22229	Tolva	1
ES	España	02	Aragón	22	Huesca	22249	Villanova	1
ES	España	02	Aragón	44	Teruel	44013	Alcañiz	6
ES	España	02	Aragón	44	Teruel	44025	Andorra	1
ES	España	02	Aragón	44	Teruel	44050	Calamocha	1
ES	España	02	Aragón	44	Teruel	44059	Cantavieja	1
ES	España	02	Aragón	44	Teruel	44068	Castelserás	1
ES	España	02	Aragón	44	Teruel	44086	Cretas	1
ES	España	02	Aragón	44	Teruel	44153	Monreal del Campo	2
ES	España	02	Aragón	44	Teruel	44158	Mora de Rubielos	1
ES	España	02	Aragón	44	Teruel	44216	Teruel	5
ES	España	02	Aragón	44	Teruel	44223	Torre de Arcas	1
ES	España	02	Aragón	44	Teruel	44239	Valacloche	1
ES	España	02	Aragón	44	Teruel	44241	Valdealgorfa	1
ES	España	02	Aragón	44	Teruel	44246	Valderrobres	2
ES	España	02	Aragón	44	Teruel	44263	Villastar	1
ES	España	02	Aragón	50	Zaragoza	50001	Abanto	2
ES	España	02	Aragón	50	Zaragoza	50013	Alcalá de Ebro	1
ES	España	02	Aragón	50	Zaragoza	50025	Almunia de Doña Godina, La	3
ES	España	02	Aragón	50	Zaragoza	50035	Artieda	1
ES	España	02	Aragón	50	Zaragoza	50043	Bárboles	2
ES	España	02	Aragón	50	Zaragoza	50066	Cadrete	1
ES	España	02	Aragón	50	Zaragoza	50067	Calatayud	4
ES	España	02	Aragón	50	Zaragoza	50080	Cerveruela	1
ES	España	02	Aragón	50	Zaragoza	50089	Cuarte de Huerva	4
ES	España	02	Aragón	50	Zaragoza	50095	Ejea de los Caballeros	1
ES	España	02	Aragón	50	Zaragoza	50115	Fuentes de Ebro	2
ES	España	02	Aragón	50	Zaragoza	50118	Gallur	1
ES	España	02	Aragón	50	Zaragoza	50129	Jaraba	1
ES	España	02	Aragón	50	Zaragoza	50137	Leciñena	1
ES	España	02	Aragón	50	Zaragoza	50152	Maella	1
ES	España	02	Aragón	50	Zaragoza	50153	Magallón	1
ES	España	02	Aragón	50	Zaragoza	50157	Malón	1
ES	España	02	Aragón	50	Zaragoza	50163	María de Huerva	2
ES	España	02	Aragón	50	Zaragoza	50181	Muel	1
ES	España	02	Aragón	50	Zaragoza	50185	Murillo de Gállego	1
ES	España	02	Aragón	50	Zaragoza	50189	Nonaspe	1
ES	España	02	Aragón	50	Zaragoza	50193	Nuez de Ebro	2
ES	España	02	Aragón	50	Zaragoza	50206	Perdiguera	1
ES	España	02	Aragón	50	Zaragoza	50209	Pinseque	2
ES	España	02	Aragón	50	Zaragoza	50219	Puebla de Alfindén, La	1
ES	España	02	Aragón	50	Zaragoza	50242	Sediles	1
ES	España	02	Aragón	50	Zaragoza	50251	Tarazona	4
ES	España	02	Aragón	50	Zaragoza	50261	Torrellas	1
ES	España	02	Aragón	50	Zaragoza	50272	Utebo	2
ES	España	02	Aragón	50	Zaragoza	50903	Villamayor de Gállego	1
ES	España	02	Aragón	50	Zaragoza	50288	Villanueva de Gállego	1
ES	España	02	Aragón	50	Zaragoza	50297	Zaragoza	375
ES	España	02	Aragón	50	Zaragoza	50298	Zuera	3
ES	España	03	Asturias, Principado de	33	Asturias	33004	Avilés	6
ES	España	03	Asturias, Principado de	33	Asturias	33009	Cabranes	1
ES	España	03	Asturias, Principado de	33	Asturias	33011	Cangas del Narcea	1
ES	España	03	Asturias, Principado de	33	Asturias	33012	Cangas de Onís	3
ES	España	03	Asturias, Principado de	33	Asturias	33014	Carreño	3
ES	España	03	Asturias, Principado de	33	Asturias	33016	Castrillón	2
ES	España	03	Asturias, Principado de	33	Asturias	33023	Franco, El	1
ES	España	03	Asturias, Principado de	33	Asturias	33024	Gijón	24
ES	España	03	Asturias, Principado de	33	Asturias	33031	Langreo	1
ES	España	03	Asturias, Principado de	33	Asturias	33035	Llanera	1
ES	España	03	Asturias, Principado de	33	Asturias	33036	Llanes	2
ES	España	03	Asturias, Principado de	33	Asturias	33044	Oviedo	11
ES	España	03	Asturias, Principado de	33	Asturias	33047	Peñamellera Baja	1
ES	España	03	Asturias, Principado de	33	Asturias	33049	Piloña	1
ES	España	03	Asturias, Principado de	33	Asturias	33066	Siero	5
ES	España	03	Asturias, Principado de	33	Asturias	33072	Teverga	1
ES	España	03	Asturias, Principado de	33	Asturias	33034	Valdés	1
ES	España	03	Asturias, Principado de	33	Asturias	33076	Villaviciosa	3
ES	España	04	Baleares, Islas	07	Balears, Illes	07002	Alaior	17
ES	España	04	Baleares, Islas	07	Balears, Illes	07001	Alaró	10
ES	España	04	Baleares, Islas	07	Balears, Illes	07003	Alcúdia	3
ES	España	04	Baleares, Islas	07	Balears, Illes	07004	Algaida	12
ES	España	04	Baleares, Islas	07	Balears, Illes	07005	Andratx	4
ES	España	04	Baleares, Islas	07	Balears, Illes	07006	Artà	6
ES	España	04	Baleares, Islas	07	Balears, Illes	07007	Banyalbufar	1
ES	España	04	Baleares, Islas	07	Balears, Illes	07008	Binissalem	12
ES	España	04	Baleares, Islas	07	Balears, Illes	07010	Bunyola	18
ES	España	04	Baleares, Islas	07	Balears, Illes	07011	Calvià	16
ES	España	04	Baleares, Islas	07	Balears, Illes	07012	Campanet	9
ES	España	04	Baleares, Islas	07	Balears, Illes	07013	Campos	3
ES	España	04	Baleares, Islas	07	Balears, Illes	07014	Capdepera	3
ES	España	04	Baleares, Islas	07	Balears, Illes	07064	Castell, Es	16
